X0,IMDB,Runtime,RottenTomato
1,6.6,73,0.6
1,6.6,73,0.67
1,6.7,73,0.82
1,6.7,73,0.92
1,7,73,0.83
1,7.3,73,0.67
1,7.3,73,0.91
1,7.6,73,0.92
1,2.4,74,0.73
1,3.6,74,0.22
1,3.7,74,0.29
1,4.1,74,1
1,5,74,0.25
1,5.3,74,0.53
1,5.6,74,0.11
1,5.6,74,0.92
1,5.8,74,0.67
1,5.8,74,0.86
1,5.9,74,0.75
1,6.1,74,0.2
1,6.1,74,0.92
1,6.2,74,0.5
1,6.3,74,0.4
1,6.4,74,0.71
1,6.4,74,0.79
1,6.4,74,1
1,6.5,74,0.9
1,6.6,74,0.8
1,6.7,74,0.51
1,6.8,74,0.67
1,6.9,74,0.88
1,7.1,74,0.85
1,7.1,74,1
1,7.1,74,1
1,7.2,74,0.79
1,7.2,74,0.87
1,7.6,74,1
1,7.6,74,1
1,4.5,75,0.04
1,4.7,75,0.1
1,4.7,75,0.34
1,4.8,75,0.71
1,5,75,0.58
1,5.1,75,0.77
1,5.3,75,0.6
1,5.3,75,0.8
1,5.4,75,0.17
1,5.6,75,0.33
1,5.6,75,0.5
1,5.7,75,0.63
1,5.8,75,0.71
1,5.9,75,0.79
1,6,75,0.85
1,6.1,75,0.5
1,6.1,75,0.7
1,6.1,75,0.75
1,6.1,75,0.93
1,6.2,75,0.87
1,6.3,75,0.71
1,6.4,75,0.8
1,6.6,75,1
1,6.7,75,0.79
1,6.8,75,0.61
1,6.8,75,1
1,6.9,75,0.67
1,7,75,0.88
1,7.1,75,0.6
1,7.2,75,0.81
1,7.2,75,1
1,7.3,75,0.9
1,7.3,75,1
1,7.4,75,0.6
1,7.5,75,0.33
1,7.5,75,0.81
1,7.5,75,0.85
1,7.6,75,1
1,7.7,75,0.9
1,1.6,76,0.24
1,5.2,76,0.78
1,5.3,76,0.53
1,5.5,76,0.32
1,5.6,76,0.77
1,5.8,76,0.83
1,6.3,76,0.9
1,6.3,76,0.97
1,6.6,76,0.94
1,6.6,76,0.97
1,6.7,76,1
1,6.8,76,1
1,6.9,76,0.78
1,7,76,0.92
1,7,76,0.92
1,7,76,0.96
1,7.1,76,0.33
1,7.2,76,0.88
1,7.2,76,0.93
1,7.2,76,1
1,7.3,76,0.75
1,7.3,76,0.86
1,7.3,76,1
